"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2465","Verify the Quotation on Sendlist","firefox","Tue Jul 15 12:17:39 IST 2025","passed","Tue Jul 15 12:17:41 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","860","Verifying success","firefox","Tue Jul 15 12:17:44 IST 2025","passed","Tue Jul 15 12:17:44 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","6656","Quotation V2 Step 3","firefox","Tue Jul 15 12:17:30 IST 2025","passed","Tue Jul 15 12:17:37 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","2245","Click and send the Quotation from Sendlist","firefox","Tue Jul 15 12:17:41 IST 2025","passed","Tue Jul 15 12:17:44 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","9050","Quotation V2 Step 1","firefox","Tue Jul 15 12:17:14 IST 2025","passed","Tue Jul 15 12:17:23 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","6963","Quotation V2 Step 2","firefox","Tue Jul 15 12:17:23 IST 2025","passed","Tue Jul 15 12:17:30 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","3329","3. Navigate to Sales and start New Quotation V2","firefox","Tue Jul 15 12:17:11 IST 2025","passed","Tue Jul 15 12:17:14 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","2095","Quotation V2 Step 4","firefox","Tue Jul 15 12:17:37 IST 2025","passed","Tue Jul 15 12:17:39 IST 2025","📋 Quotation V2 Flow","RBF\login.test.js","",""
"","3877","2. User takeover","firefox","Tue Jul 15 12:17:07 IST 2025","passed","Tue Jul 15 12:17:11 IST 2025","🔐 Login and User Takeover Flow","RBF\login.test.js","",""
"","53","1. Verify Dashboard is visible after login","firefox","Tue Jul 15 12:16:56 IST 2025","passed","Tue Jul 15 12:16:56 IST 2025","🔐 Login and User Takeover Flow","RBF\login.test.js","",""
