"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","8. Verify the Quotation on Sendlist","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","76","5. Verifying Generated Quotation Status from Status History tab","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📨 Verification and Validations in View quotation section","RBF\QuotationModule.test.js","",""
"","1","3. View Quotation email and Verify Email type","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📧 Quotation Email Verification","RBF\QuotationModule.test.js","",""
"","36","3. Navigate to Sales and start New Quotation V2","chromium","Mon Jul 28 14:01:07 IST 2025","passed","Mon Jul 28 14:01:07 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","51","3. Verifying Company name in View quotation section","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📨 Verification and Validations in View quotation section","RBF\QuotationModule.test.js","",""
"","10302","5. Quotation V2 Step 2 - Verify Tariff and Add Lines","chromium","Mon Jul 28 14:01:15 IST 2025","failed","Mon Jul 28 14:01:25 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","1","2. Select and Verify email history module","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📧 Quotation Email Verification","RBF\QuotationModule.test.js","",""
"","27085","7. Quotation V2 Step 4 - Verify Tariff and Add Lines","chromium","Mon Jul 28 14:01:59 IST 2025","failed","Mon Jul 28 14:02:26 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","11055","6. Quotation V2 Step 3 - Verify Tariff and Add Lines","chromium","Mon Jul 28 14:01:37 IST 2025","failed","Mon Jul 28 14:01:48 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","1","9. Click and send the Quotation from Sendlist","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","61","1. Verify Dashboard is visible after login","chromium","Mon Jul 28 14:00:49 IST 2025","passed","Mon Jul 28 14:00:49 IST 2025","🔐 Login and User Takeover Flow","RBF\QuotationModule.test.js","",""
"","4","10. Verifying success","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","1","1. Navigation to operational module","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📧 Quotation Email Verification","RBF\QuotationModule.test.js","",""
"","1","4. Verify Company name on Quotation email","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📧 Quotation Email Verification","RBF\QuotationModule.test.js","",""
"","3","1. Email history to Sent Quotation Overview","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📨 Sent Quotation Navigation","RBF\QuotationModule.test.js","",""
"","4763","4. Quotation V2 Step 1 - Fill Company and Details","chromium","Mon Jul 28 14:01:08 IST 2025","failed","Mon Jul 28 14:01:12 IST 2025","📋 Quotation V2 Flow","RBF\QuotationModule.test.js","",""
"","101","4. Verifying Generated Quotation Reference Code in View quotation section","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📨 Verification and Validations in View quotation section","RBF\QuotationModule.test.js","",""
"","7","2. View Sent Quotation","chromium","Mon Jul 28 14:02:26 IST 2025","skipped","Mon Jul 28 14:02:26 IST 2025","📨 Sent Quotation Navigation","RBF\QuotationModule.test.js","",""
"","4293","2. User takeover","chromium","Mon Jul 28 14:01:02 IST 2025","passed","Mon Jul 28 14:01:06 IST 2025","🔐 Login and User Takeover Flow","RBF\QuotationModule.test.js","",""
